Filename,File Type,File Size (MB),Total HDUs,Instrument,Telescope,Observation Date,Object,Creator
gticzt1.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hk.fits,.fits,2.23,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte2.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticzt2.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte1.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte2.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte1.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_czt_spectra_czt1.fits,.fits,14.12,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_czt_spectra_czt2.fits,.fits,14.12,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_czt1.fits,.fits,11.14,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_czt2.fits,.fits,11.14,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_cdte_spectra_cdte1.fits,.fits,21.09,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_cdte2.fits,.fits,11.12,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_cdte1.fits,.fits,11.11,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_cdte_spectra_cdte2.fits,.fits,21.12,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
evt.fits,.fits,129.16,5,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticzt1.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hk.fits,.fits,2.25,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte2.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticzt2.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
gticdte1.fits,.fits,0.01,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_czt_spectra_czt1.fits,.fits,14.12,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
hel1os_czt_spectra_czt2.fits,.fits,14.12,2,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_czt1.fits,.fits,11.14,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
lightcurve_czt2.fits,.fits,11.14,6,HEL1OS,Aditya-L1,N/A,N/A,HEL1OS-L1-PIPELINE
